lang,tid,sportid,brandid,translatedtext,objecttype,basetid,original,version
de,daznbetde_CN_U-6412,BKB,daznbetde,WJBL Summer Camp ,competition,CN_U-6412,WJBL Summer Camp - Japan,1
de,daznbetde_CN_U-6413,BKB,daznbetde,CBA Summer League ,competition,CN_U-6413,CBA Summer League - China,1
de,daznbetde_CN_U-6417,BKB,daznbetde,"National Basketball Championship, Women ",competition,CN_U-6417,"National Basketball Championship, Women - China",1
de,daznbetde_CN_U-6460,BKB,daznbetde,Senior Silver Shield ,competition,CN_U-6460,"Senior Silver Shield - Hong Kong, China",1
de,daznbetde_CN_U-6510,BKB,daznbetde,BBL,competition,CN_U-6510,BBL-Pokal - Germany,1
de,daznbetde_CN_U-6546,BKB,daznbetde,NBA In,competition,CN_U-6546,NBA In-Season Tournament - USA,1
de,daznbetde_CN_U-6611,BKB,daznbetde,"Central American Games, Women ",competition,CN_U-6611,"Central American Games, Women - International",1
de,daznbetde_CN_U-6654,BKB,daznbetde,Coupe du Senegal ,competition,CN_U-6654,Coupe du Senegal - Senegal,1
de,daznbetde_CN_U-6668,BKB,daznbetde,"LFB, Women ",competition,CN_U-6668,"LFB, Women - El Salvador",1
de,daznbetde_CN_U-6676,BKB,daznbetde,MABA Cup ,competition,CN_U-6676,MABA Cup - Malaysia,1
de,daznbetde_CN_U-6821,BKB,daznbetde,European Universities Championship ,competition,CN_U-6821,European Universities Championship - International,1
de,daznbetde_CN_U-6823,BKB,daznbetde,"European Universities Championship, Women ",competition,CN_U-6823,"European Universities Championship, Women - International",1
de,daznbetde_CN_U-6867,BKB,daznbetde,Supercoppa ,competition,CN_U-6867,Supercoppa - Italy,1
de,daznbetde_CN_U-6880,BKB,daznbetde,LNBP ,competition,CN_U-6880,LNBP - Mexico,1
de,daznbetde_CN_U-6907,BKB,daznbetde,Universiade ,competition,CN_U-6907,Universiade - International,1
de,daznbetde_CN_U-6960,BKB,daznbetde,Paulista League ,competition,CN_U-6960,Paulista League - Brazil,1
de,daznbetde_CN_U-6962,BKB,daznbetde,Catarinense ,competition,CN_U-6962,Catarinense - Brazil,1
de,daznbetde_CN_U-6982,BKB,daznbetde,"Universiade, Women ",competition,CN_U-6982,"Universiade, Women - International",1
de,daznbetde_CN_U-7032,BKB,daznbetde,"Catarinense, Women ",competition,CN_U-7032,"Catarinense, Women - Brazil",1
de,daznbetde_CN_U-7050,BKB,daznbetde,"BSNF, Women ",competition,CN_U-7050,"BSNF, Women - Puerto Rico",1
de,daznbetde_CN_U-7051,BKB,daznbetde,"Catarinense, Women ",competition,CN_U-7051,"Catarinense, Women - Brazil",1
de,daznbetde_CN_U-7067,BKB,daznbetde,"William Jones Cup, Women ",competition,CN_U-7067,"William Jones Cup, Women - International",1
de,daznbetde_CN_U-7197,BKB,daznbetde,William Jones Cup ,competition,CN_U-7197,William Jones Cup - International,1
de,daznbetde_CN_U-7233,BKB,daznbetde,LSB League ,competition,CN_U-7233,LSB League - Nicaragua,1
de,daznbetde_CN_U-7239,BKB,daznbetde,"FIBA Asia Cup, Division B, Women ",competition,CN_U-7239,"FIBA Asia Cup, Division B, Women - International",1
de,daznbetde_CN_U-7378,BKB,daznbetde,NBA ,competition,CN_U-7378,NBA - USA,1
de,daznbetde_CN_U-7392,BKB,daznbetde,NBL1 ,competition,CN_U-7392,NBL1 - Australia,1
de,daznbetde_CN_U-7393,BKB,daznbetde,"NBL1, Women ",competition,CN_U-7393,"NBL1, Women - Australia",1
de,daznbetde_CN_U-7399,BKB,daznbetde,"Club Friendly Games, Women ",competition,CN_U-7399,"Club Friendly Games, Women - International",1
de,daznbetde_CN_U-7555,BKB,daznbetde,"Torneo Nacional de Ascenso, Women ",competition,CN_U-7555,"Torneo Nacional de Ascenso, Women - Cuba",1
de,daznbetde_CN_U-7572,BKB,daznbetde,Supercopa ,competition,CN_U-7572,Supercopa - Spain,1
de,daznbetde_CN_U-7573,BKB,daznbetde,Super Cup ,competition,CN_U-7573,Super Cup - Slovenia,1
de,daznbetde_CN_U-7656,BKB,daznbetde,"U23 Campeonato Carioca, Women ",competition,CN_U-7656,"U23 Campeonato Carioca, Women - Brazil",1
de,daznbetde_CN_U-7717,BKB,daznbetde,"LSBF League, Women ",competition,CN_U-7717,"LSBF League, Women - Nicaragua",1
de,daznbetde_CN_U-7736,BKB,daznbetde,U19 National Youth Basketball League ,competition,CN_U-7736,U19 National Youth Basketball League - China,1
de,daznbetde_CN_U-7769,BKB,daznbetde,Super League U19 ,competition,CN_U-7769,Super League U19 - Saudi Arabia,1
de,daznbetde_CN_U-7774,BKB,daznbetde,"Liga Super Basketball, Women ",competition,CN_U-7774,"Liga Super Basketball, Women - Brazil",1
de,daznbetde_CN_U-7775,BKB,daznbetde,"Paulista, Women ",competition,CN_U-7775,"Paulista, Women - Brazil",1
de,daznbetde_CN_U-7809,BKB,daznbetde,"Campeonato Estadual, Women ",competition,CN_U-7809,"Campeonato Estadual, Women - Brazil",1
de,daznbetde_CN_U-7943,BKB,daznbetde,Torneo Nacional de Ascenso ,competition,CN_U-7943,Torneo Nacional de Ascenso - Cuba,1
de,daznbetde_CN_U-7947,BKB,daznbetde,Arab Women's Club Basketball Championship ,competition,CN_U-7947,Arab Women's Club Basketball Championship - International,1
de,daznbetde_CN_U-7949,BKB,daznbetde,Liga LBP ,competition,CN_U-7949,Liga LBP - Mexico,1
de,daznbetde_CN_U-7975,BKB,daznbetde,Supercoppa LNP Serie B ,competition,CN_U-7975,Supercoppa LNP Serie B - Italy,1
de,daznbetde_CN_U-7976,BKB,daznbetde,Liga de Lima ,competition,CN_U-7976,Liga de Lima - Peru,1
de,daznbetde_CN_U-7977,BKB,daznbetde,"Lifobasquet, Women ",competition,CN_U-7977,"Lifobasquet, Women - Bolivia",1
de,daznbetde_CN_U-7997,BKB,daznbetde,"Liga de Lima, Women ",competition,CN_U-7997,"Liga de Lima, Women - Peru",1
de,daznbetde_CN_U-8016,BKB,daznbetde,National League ,competition,CN_U-8016,National League - Rwanda,1
de,daznbetde_CN_U-8017,BKB,daznbetde,"National Basketball League, Women ",competition,CN_U-8017,"National Basketball League, Women - New Zealand",1
de,daznbetde_CN_U-8025,BKB,daznbetde,BNXT Super Cup ,competition,CN_U-8025,BNXT Super Cup - International,1
de,daznbetde_CN_U-8075,BKB,daznbetde,Greece Cup ,competition,CN_U-8075,Greece Cup - Greece,1
de,daznbetde_CN_U-8087,BKB,daznbetde,Vice President Cup ,competition,CN_U-8087,Vice President Cup - United Arab Emirates,1
de,daznbetde_CN_U-8120,BKB,daznbetde,Super 8 ,competition,CN_U-8120,Super 8 - Argentina,1
