brandid,sportid,lang,objecttype,pattern,recordtype,version,description
daznbetde,FBL,de,WHOSCORES2-G-1N-2N-FLGM-GL,"{""langdescription"": [{""desc"": ""Team ohne Gegentor"", ""pluralcount"": ""One""}, {""desc"": ""Team ohne Gegentor"", ""pluralcount"": ""Few""}, {""desc"": ""Team ohne Gegentor"", ""pluralcount"": ""Many""}, {""desc"": ""Team ohne Gegentor"", ""pluralcount"": ""Other""}]}",mar,1,Team Clean Sheet
daznbetde,FBL,de,WHOSCORES2-G-2-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Away Win To Nil
daznbetde,FBL,de,TOTALS-E-1-FLGM-GL,"{""langdescription"": [{""desc"": ""Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""One""}, {""desc"": ""Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""Few""}, {""desc"": ""Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""Many""}, {""desc"": ""Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""Other""}]}",mar,1,Home Team Exact Number Of $scoretype$
daznbetde,FBL,de,WHOSCORES2-G-2-2HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Auswärts gewinnt zu Null"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Away Win To Nil
daznbetde,FBL,de,TOTALS-E-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Genaue Anzahl $scoretype$"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Genaue Anzahl $scoretype$"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Genaue Anzahl $scoretype$"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Genaue Anzahl $scoretype$"", ""pluralcount"": ""Other""}]}",mar,1,Half Time Exact Number Of $scoretype$s
daznbetde,FBL,de,TOTALS-E-2-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""Other""}]}",mar,1,Away Team Half Time Exact Number Of $scoretype$s
daznbetde,FBL,de,TOTALS-E-2-FLGM-GL,"{""langdescription"": [{""desc"": ""Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""One""}, {""desc"": ""Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""Few""}, {""desc"": ""Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""Many""}, {""desc"": ""Auswärts Genaue Anzahl $scoretype$"", ""pluralcount"": ""Other""}]}",mar,1,Away Team Exact Number Of $scoretype$s
daznbetde,FBL,de,WINNER-5-FLGM-GL,"{""langdescription"": [{""desc"": ""$scoretype$ wird in den nächsten 5 Min. erzielt Ja/Nein ($scorenumberx$ - $scorenumbery$)"", ""pluralcount"": ""One""}, {""desc"": ""$scoretype$ wird in den nächsten 5 Min. erzielt Ja/Nein ($scorenumberx$ - $scorenumbery$)"", ""pluralcount"": ""Few""}, {""desc"": ""$scoretype$ wird in den nächsten 5 Min. erzielt Ja/Nein ($scorenumberx$ - $scorenumbery$)"", ""pluralcount"": ""Many""}, {""desc"": ""$scoretype$ wird in den nächsten 5 Min. erzielt Ja/Nein ($scorenumberx$ - $scorenumbery$)"", ""pluralcount"": ""Other""}]}",mar,1,$scoretype$ Scored in the Next 5 Minutes Yes/No ($scorenumberx$ - $scorenumbery$)
daznbetde,FBL,de,WINNER2D-G-DC&&WHOSCORES2-G-12-2HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Double Chance And ($period$) Both Teams To Score
daznbetde,FBL,de,WINNER2D-G-DC&&WHOSCORES2-G-12-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Doppelte Chance und ($period$) Beide Teams treffen"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Double Chance And ($period$) Both Teams To Score
